April/Apr.                                                  四月/四月。                                                                                                                  
die                                                         死                                                                                                                               
duckling                                                    小鴨子                                                                                                                         
dinner                                                      晚餐                                                                                                                            
edge                                                        邊緣                                                                                                                            
each                                                        每個                                                                                                                            
eagle                                                       鷹                                                                                                                               
ear                                                         耳朵                                                                                                                            
eight                                                       八                                                                                                                               
egg                                                         蛋                                                                                                                               
early                                                       早期的                                                                                                                         
earth                                                       地球                                                                                                                            
ease                                                        舒適                                                                                                                            
east                                                        東                                                                                                                               
easy                                                        簡單的                                                                                                                         
eat                                                         吃                                                                                                                               
except/excepting                                            除了/除了                                                                                                                     
eighty                                                      八十                                                                                                                            
enter                                                       進入                                                                                                                            
equal                                                       平等的                                                                                                                         
enough                                                      足夠的                                                                                                                         
eye                                                         眼睛                                                                                                                            
even(1)                                                     甚至（1）                                                                                                                     
even(2)                                                     甚至（2）                                                                                                                     
evening                                                     晚上                                                                                                                            
ever                                                        曾經                                                                                                                            
every                                                       每一個                                                                                                                         
end                                                         結尾                                                                                                                            
examination/exam                                            考試/考試                                                                                                                     
examine                                                     檢查                                                                                                                            
example                                                     例子                                                                                                                            
else                                                        別的                                                                                                                            
eleven                                                      十一                                                                                                                            
elephant                                                    大象                                                                                                                            
either(2)                                                   要么（2）                                                                                                                     
eighteen                                                    十八                                                                                                                            
either(1)                                                   要么（1）                                                                                                                     
feeling                                                     感覺                                                                                                                            
feelings                                                    情懷                                                                                                                            
full                                                        滿的                                                                                                                            
few                                                         很少                                                                                                                            
fifteen                                                     十五                                                                                                                            
face                                                        臉                                                                                                                               
fact                                                        事實                                                                                                                            
factory                                                     工廠                                                                                                                            
feel                                                        感覺                                                                                                                            
feed                                                        餵養                                                                                                                            
fear                                                        恐懼                                                                                                                            
fall                                                        落下                                                                                                                            
false                                                       錯誤的                                                                                                                         
family                                                      家庭                                                                                                                            
fan(1)                                                      風扇(1)                                                                                                                         
far                                                         遠的                                                                                                                            
father                                                      父親                                                                                                                            
farm                                                        農場                                                                                                                            
fat                                                         胖的                                                                                                                            
farmer                                                      農民                                                                                                                            
fast                                                        快速地                                                                                                                         
forty                                                       四十                                                                                                                            
fly(1)                                                      飛(1)                                                                                                                            
fly(2)                                                      飛(2)                                                                                                                            
fog                                                         多霧路段                                                                                                                      
follow                                                      跟隨                                                                                                                            
food                                                        食物                                                                                                                            
foot                                                        腳                                                                                                                               
for                                                         為了                                                                                                                            
force                                                       力量                                                                                                                            
foreign                                                     外國的                                                                                                                         
forest                                                      森林                                                                                                                            
forget                                                      忘記                                                                                                                            
fork                                                        叉子                                                                                                                            
fight                                                       鬥爭                                                                                                                            
four                                                        四                                                                                                                               
fourteen                                                    十四                                                                                                                            
free                                                        自由的                                                                                                                         
fresh                                                       新鮮的                                                                                                                         
friend                                                      朋友                                                                                                                            
frog                                                        青蛙                                                                                                                            
from                                                        從                                                                                                                               
front                                                       正面                                                                                                                            
funny                                                       有趣的                                                                                                                         
fruit                                                       水果                                                                                                                            
fun                                                         樂趣                                                                                                                            
finger                                                      手指                                                                                                                            
flower                                                      花                                                                                                                               
fire(1)                                                     火(1)                                                                                                                            
floor                                                       地面                                                                                                                            
fish                                                        魚                                                                                                                               
fire(2)                                                     火(2)                                                                                                                            
fifty                                                       五十                                                                                                                            
fill                                                        充滿                                                                                                                            
final                                                       最後                                                                                                                            
fine(2)                                                     很好(2)                                                                                                                         
first                                                       第一的                                                                                                                         
finish                                                      結束                                                                                                                            
find                                                        尋找                                                                                                                            
fine(1)                                                     很好(1)                                                                                                                         
five                                                        五                                                                                                                               
guess                                                       猜測                                                                                                                            
grow                                                        生長                                                                                                                            
guest                                                       來賓                                                                                                                            
grandfather/grandpa                                         爺爺                                                                                                                            
grandchild                                                  孫子                                                                                                                            
grandmother/grandma                                         祖母/祖母                                                                                                                     
group                                                       團體                                                                                                                            
ground                                                      地面                                                                                                                            
grandson                                                    孫子                                                                                                                            
grass                                                       草                                                                                                                               
green                                                       綠色                                                                                                                            
great                                                       偉大的                                                                                                                         
gray/grey                                                   灰色/灰色                                                                                                                     
glad                                                        高興的                                                                                                                         
get                                                         得到                                                                                                                            
gold                                                        金子                                                                                                                            
good                                                        好的                                                                                                                            
gift                                                        禮物                                                                                                                            
girl                                                        女孩                                                                                                                            
god/goddess                                                 神/女神                                                                                                                        
give                                                        給                                                                                                                               
good-bye/goodbye/good-by/goodby/bye-bye/bye                 再見/再見/再見/再見/再見/再見                                                                                         
go                                                          去                                                                                                                               
goose                                                       鵝                                                                                                                               
guide                                                       指導                                                                                                                            
glass                                                       玻璃                                                                                                                            
glasses                                                     眼鏡                                                                                                                            
general(1)                                                  一般(1)                                                                                                                         
gas                                                         氣體                                                                                                                            
garden                                                      花園                                                                                                                            
grand                                                       盛大                                                                                                                            
gun                                                         槍                                                                                                                               
ghost                                                       鬼                                                                                                                               
granddaughter                                               孫女                                                                                                                            
game                                                        遊戲                                                                                                                            
hour                                                        小時                                                                                                                            
hold                                                        抓住                                                                                                                            
hat                                                         帽子                                                                                                                            
hate                                                        恨                                                                                                                               
have                                                        有                                                                                                                               
hope                                                        希望                                                                                                                            
he                                                          他                                                                                                                               
head                                                        頭                                                                                                                               
health                                                      健康                                                                                                                            
homework                                                    家庭作業                                                                                                                      
hear                                                        聽到                                                                                                                            
home                                                        家                                                                                                                               
heart                                                       心                                                                                                                               
holiday                                                     假期                                                                                                                            
hole                                                        洞                                                                                                                               
hot                                                         熱的                                                                                                                            
heat                                                        熱                                                                                                                               
hit                                                         打                                                                                                                               
history                                                     歷史                                                                                                                            
his                                                         他的                                                                                                                            
him                                                         他                                                                                                                               
hill                                                        爬坡道                                                                                                                         
high                                                        高的                                                                                                                            
heavy                                                       重的                                                                                                                            
here                                                        這裡                                                                                                                            
her(s)                                                      她（們）                                                                                                                      
hello                                                       你好                                                                                                                            
help                                                        幫助                                                                                                                            
husband                                                     丈夫                                                                                                                            
hundred                                                     百                                                                                                                               
human                                                       人類                                                                                                                            
hungry                                                      飢餓的                                                                                                                         
hurt                                                        傷害                                                                                                                            
hair                                                        頭髮                                                                                                                            
haircut                                                     理髮                                                                                                                            
huge                                                        巨大的                                                                                                                         
half                                                        一半                                                                                                                            
how                                                         如何                                                                                                                            
ham                                                         火腿                                                                                                                            
hand                                                        手                                                                                                                               
happen                                                      發生                                                                                                                            
happy                                                       快樂的                                                                                                                         
hard                                                        難的                                                                                                                            
house                                                       屋                                                                                                                               
horse                                                       馬                                                                                                                               
inch                                                        英寸                                                                                                                            
important                                                   重要的                                                                                                                         
inside                                                      裡面                                                                                                                            
it                                                          它                                                                                                                               
its                                                         它的                                                                                                                            
in                                                          在                                                                                                                               
is                                                          是                                                                                                                               
interest                                                    興趣                                                                                                                            
iron                                                        鐵                                                                                                                               
into                                                        進入                                                                                                                            
ice                                                         冰                                                                                                                               
idea                                                        主意                                                                                                                            
if                                                          如果                                                                                                                            
jump                                                        跳                                                                                                                               
just(2)                                                     就(2)                                                                                                                            
jam(1)                                                      果醬(1)                                                                                                                         
just(1)                                                     就(1)                                                                                                                            
juice                                                       果汁                                                                                                                            
joke                                                        玩笑                                                                                                                            
join                                                        加入                                                                                                                            
job                                                         工作                                                                                                                            
joy                                                         喜悅                                                                                                                            
kid                                                         孩子                                                                                                                            
kiss                                                        吻                                                                                                                               
knife                                                       刀                                                                                                                               
kind(2)                                                     種類(2)                                                                                                                         
kick                                                        踢                                                                                                                               
key(2)                                                      鑰匙(2)                                                                                                                         
knee                                                        膝蓋                                                                                                                            
kitten/kitty                                                小貓/小貓                                                                                                                     
king                                                        王                                                                                                                               
keep                                                        保持                                                                                                                            
keeper                                                      守門員                                                                                                                         
key(1)                                                      鑰匙(1)                                                                                                                         
kite                                                        風箏                                                                                                                            
kitchen                                                     廚房                                                                                                                            
know                                                        知道                                                                                                                            
kill                                                        殺                                                                                                                               
kind(1)                                                     種類(1)                                                                                                                         
look                                                        看                                                                                                                               
light(1)                                                    燈(1)                                                                                                                            
long(2)                                                     長(2)                                                                                                                            
long(1)                                                     長(1)                                                                                                                            
light(2)                                                    燈(2)                                                                                                                            
like(1)                                                     喜歡(1)                                                                                                                         
live(2)                                                     直播(2)                                                                                                                         
less                                                        較少的                                                                                                                         
like(2)                                                     喜歡(2)                                                                                                                         
lot                                                         很多                                                                                                                            
live(1)                                                     直播(1)                                                                                                                         
likely                                                      可能                                                                                                                            
little                                                      小的                                                                                                                            
loud                                                        大聲                                                                                                                            
listen                                                      聽                                                                                                                               
lily                                                        百合                                                                                                                            
lunch/luncheon                                              午餐/午宴                                                                                                                     
line                                                        線                                                                                                                               
list                                                        列表                                                                                                                            
