Bible/bible                                                 聖經/聖經                                                                                                                     
memorize                                                    記住                                                                                                                            
march                                                       行進                                                                                                                            
mobile                                                      移動的                                                                                                                         
merchant                                                    商人                                                                                                                            
manageable                                                  易於管理的                                                                                                                   
mob                                                         暴民                                                                                                                            
mathematical                                                數學的                                                                                                                         
manage(ment)                                                管理）                                                                                                                         
mop                                                         拖把                                                                                                                            
mystery                                                     神秘                                                                                                                            
mention                                                     提到                                                                                                                            
mess                                                        混亂                                                                                                                            
medal                                                       勳章                                                                                                                            
musical                                                     音樂                                                                                                                            
mood                                                        情緒                                                                                                                            
mushroom                                                    蘑菇                                                                                                                            
marble                                                      大理石                                                                                                                         
motel                                                       汽車旅館                                                                                                                      
meaningful                                                  有意義的                                                                                                                      
muscle                                                      肌肉                                                                                                                            
millionaire                                                 百萬富翁                                                                                                                      
moist                                                       濕                                                                                                                               
moral                                                       道德                                                                                                                            
miner                                                       礦工                                                                                                                            
membership                                                  會員資格                                                                                                                      
merry                                                       快活的                                                                                                                         
motor                                                       馬達                                                                                                                            
miracle                                                     奇蹟                                                                                                                            
mature                                                      成熟                                                                                                                            
might                                                       可能                                                                                                                            
marvelous                                                   奇妙                                                                                                                            
mixture                                                     混合物                                                                                                                         
meanwhile                                                   同時                                                                                                                            
mission                                                     使命                                                                                                                            
mall                                                        購物中心                                                                                                                      
minority                                                    少數民族                                                                                                                      
missing                                                     失踪                                                                                                                            
missile                                                     導彈                                                                                                                            
mill                                                        磨                                                                                                                               
misery                                                      苦難                                                                                                                            
microphone/mike                                             麥克風                                                                                                                         
minor                                                       次要的                                                                                                                         
monk                                                        僧                                                                                                                               
melt                                                        熔化                                                                                                                            
mathematics/math                                            數學/數學                                                                                                                     
mist                                                        薄霧                                                                                                                            
moisture                                                    水分                                                                                                                            
medium/media                                                媒體/媒體                                                                                                                     
noble                                                       高貴                                                                                                                            
normal                                                      普通的                                                                                                                         
necktie                                                     領帶                                                                                                                            
nun                                                         尼姑                                                                                                                            
neighborhood                                                鄰里                                                                                                                            
native                                                      本國的                                                                                                                         
nerve                                                       神經                                                                                                                            
nanny                                                       保姆                                                                                                                            
nervous                                                     緊張的                                                                                                                         
nap                                                         小憩                                                                                                                            
network                                                     網絡                                                                                                                            
novelist                                                    小說家                                                                                                                         
necessity                                                   必要性                                                                                                                         
navy                                                        海軍                                                                                                                            
nickname                                                    暱稱                                                                                                                            
opportunity                                                 機會                                                                                                                            
outline                                                     大綱                                                                                                                            
ought_to                                                    應該                                                                                                                            
optimistic                                                  樂觀的                                                                                                                         
odd                                                         奇怪的                                                                                                                         
overcoat                                                    大衣                                                                                                                            
origin                                                      起源                                                                                                                            
oak                                                         橡木                                                                                                                            
opposite                                                    對面的                                                                                                                         
ownership                                                   所有權                                                                                                                         
operator                                                    操作員                                                                                                                         
outdoors                                                    戶外                                                                                                                            
observe                                                     觀察                                                                                                                            
outer                                                       外                                                                                                                               
obvious                                                     明顯的                                                                                                                         
orphan                                                      孤兒                                                                                                                            
occasion                                                    場合                                                                                                                            
original                                                    原來的                                                                                                                         
outdoor                                                     戶外的                                                                                                                         
onto                                                        到                                                                                                                               
owe                                                         欠                                                                                                                               
permission                                                  允許                                                                                                                            
pest                                                        害蟲                                                                                                                            
pursue                                                      追求                                                                                                                            
pickle                                                      泡菜                                                                                                                            
penny                                                       一分錢                                                                                                                         
pause                                                       暫停                                                                                                                            
pave(ment)                                                  路面）                                                                                                                         
paw                                                         爪子                                                                                                                            
pay(2)/salary/wage(s)                                       pay(2)/工資/工資                                                                                                              
pea                                                         豌豆                                                                                                                            
peak                                                        頂峰                                                                                                                            
password                                                    密碼                                                                                                                            
passport                                                    護照                                                                                                                            
pearl                                                       珍珠                                                                                                                            
passion                                                     熱情                                                                                                                            
passage                                                     通道                                                                                                                            
participate                                                 參加                                                                                                                            
peel                                                        剝                                                                                                                               
peep                                                        窺視                                                                                                                            
parcel                                                      包裹                                                                                                                            
persuade                                                    說服                                                                                                                            
paradise                                                    天堂                                                                                                                            
parade                                                      遊行                                                                                                                            
panic                                                       恐慌                                                                                                                            
pancake                                                     餅子                                                                                                                            
perform                                                     履行                                                                                                                            
pale                                                        蒼白                                                                                                                            
performance                                                 表現                                                                                                                            
palace                                                      宮                                                                                                                               
pal                                                         朋友                                                                                                                            
pail                                                        桶                                                                                                                               
pad                                                         軟墊                                                                                                                            
patience                                                    耐心                                                                                                                            
permit                                                      允許                                                                                                                            
personality                                                 性格                                                                                                                            
protective                                                  保護的                                                                                                                         
pony                                                        小馬                                                                                                                            
process                                                     過程                                                                                                                            
pop(1)                                                      彈出（1）                                                                                                                     
pop(2)/popular                                              流行（2）/流行                                                                                                              
porcelain/china                                             瓷器/瓷器                                                                                                                     
pub                                                         酒吧                                                                                                                            
probable                                                    可能                                                                                                                            
portion                                                     部分                                                                                                                            
property                                                    財產                                                                                                                            
portrait                                                    肖像                                                                                                                            
primary                                                     基本的                                                                                                                         
postage                                                     郵資                                                                                                                            
poster                                                      海報                                                                                                                            
postpone(ment)                                              延期                                                                                                                            
priest                                                      牧師                                                                                                                            
pill                                                        丸                                                                                                                               
pottery/ceramic(s)                                          陶器/陶瓷                                                                                                                     
pour                                                        倒                                                                                                                               
previous                                                    以前的                                                                                                                         
poverty                                                     貧困                                                                                                                            
powder                                                      粉末                                                                                                                            
protection                                                  保護                                                                                                                            
practical                                                   實際的                                                                                                                         
prayer                                                      禱告                                                                                                                            
prevent                                                     防止                                                                                                                            
precious                                                    寶貴的                                                                                                                         
proposal                                                    提議                                                                                                                            
preparation                                                 準備                                                                                                                            
pressure                                                    壓力                                                                                                                            
pretend                                                     假裝                                                                                                                            
plum                                                        李子                                                                                                                            
pit                                                         坑                                                                                                                               
pity                                                        遺憾                                                                                                                            
pure                                                        純的                                                                                                                            
proper                                                      恰當的                                                                                                                         
punch                                                       沖床                                                                                                                            
plastic                                                     塑料                                                                                                                            
promote                                                     推動                                                                                                                            
pollute                                                     污染                                                                                                                            
pint                                                        品脫                                                                                                                            
plenty                                                      很多                                                                                                                            
plug                                                        插頭                                                                                                                            
program                                                     程序                                                                                                                            
plumber                                                     管道工                                                                                                                         
proof                                                       證明                                                                                                                            
profit                                                      利潤                                                                                                                            
pole                                                        極                                                                                                                               
political                                                   政治的                                                                                                                         
politician                                                  政治家                                                                                                                         
politics                                                    政治                                                                                                                            
pine                                                        松樹                                                                                                                            
pilot                                                       飛行員                                                                                                                         
product                                                     產品                                                                                                                            
poll                                                        輪詢                                                                                                                            
quarrel                                                     吵架                                                                                                                            
quote                                                       引用                                                                                                                            
queer                                                       奇怪的                                                                                                                         
rotten                                                      爛                                                                                                                               
radar                                                       雷達                                                                                                                            
restrict                                                    嚴格                                                                                                                            
reserve                                                     預訂                                                                                                                            
rough                                                       粗糙的                                                                                                                         
rank                                                        秩                                                                                                                               
rot                                                         腐爛                                                                                                                            
rid                                                         擺脫                                                                                                                            
rob                                                         搶                                                                                                                               
roast                                                       烤                                                                                                                               
roar                                                        怒吼                                                                                                                            
robber                                                      強盜                                                                                                                            
risk                                                        風險                                                                                                                            
resource                                                    資源                                                                                                                            
ripe                                                        成熟                                                                                                                            
robbery                                                     搶劫                                                                                                                            
riddle                                                      謎語                                                                                                                            
reveal                                                      揭示                                                                                                                            
robe                                                        長袍                                                                                                                            
respond                                                     回應                                                                                                                            
response                                                    回复                                                                                                                            
rocket                                                      火箭                                                                                                                            
resist                                                      抵抗                                                                                                                            
responsibility                                              責任                                                                                                                            
ribbon                                                      絲帶                                                                                                                            
romantic                                                    浪漫的                                                                                                                         
racial                                                      種族的                                                                                                                         
recognize                                                   認出                                                                                                                            
raw                                                         生的                                                                                                                            
ray                                                         射線                                                                                                                            
razor                                                       剃刀                                                                                                                            
react                                                       反應                                                                                                                            
reaction                                                    反應                                                                                                                            
rumor                                                       謠言                                                                                                                            
rust                                                        銹                                                                                                                               
represent                                                   代表                                                                                                                            
rusty                                                       生鏽的                                                                                                                         
reasonable                                                  合理的                                                                                                                         
reliable                                                    可靠的                                                                                                                         
replace(ment)                                               替代品）                                                                                                                      
receipt                                                     收據                                                                                                                            
receiver                                                    接收者                                                                                                                         
rely                                                        依靠                                                                                                                            
repair                                                      修理                                                                                                                            
rent                                                        租                                                                                                                               
recorder                                                    錄音機                                                                                                                         
release                                                     發布                                                                                                                            
recover                                                     恢復                                                                                                                            
relax                                                       放鬆                                                                                                                            
relate                                                      涉及                                                                                                                            
regret                                                      後悔                                                                                                                            
regional                                                    地區性的                                                                                                                      
remind                                                      提醒                                                                                                                            
remote                                                      偏僻的                                                                                                                         
remove                                                      消除                                                                                                                            
reduce                                                      減少                                                                                                                            
renew                                                       更新                                                                                                                            
