Antarctic/antarctic                                         南極/南極                                                                                                                     
clone                                                       克隆                                                                                                                            
closure                                                     關閉                                                                                                                            
coherent                                                    相干                                                                                                                            
coincide                                                    重合                                                                                                                            
coincidence                                                 巧合                                                                                                                            
collective                                                  集體                                                                                                                            
collector                                                   集電極                                                                                                                         
clamp                                                       夾鉗                                                                                                                            
coffin                                                      棺材                                                                                                                            
dispatch                                                    派遣                                                                                                                            
dispensable                                                 可有可無的                                                                                                                   
disperse                                                    分散                                                                                                                            
displace                                                    取代                                                                                                                            
displease                                                   得罪                                                                                                                            
disposable                                                  一次性的                                                                                                                      
disposal                                                    處理                                                                                                                            
disregard                                                   漠視                                                                                                                            
dissident                                                   持不同政見者                                                                                                                
dissolve                                                    溶解                                                                                                                            
dissuade                                                    勸阻                                                                                                                            
distort                                                     歪曲                                                                                                                            
dismay                                                      沮喪                                                                                                                            
dismantle                                                   拆除                                                                                                                            
disgraceful                                                 可恥                                                                                                                            
disgrace                                                    恥辱                                                                                                                            
discrimination                                              歧視                                                                                                                            
discreet                                                    慎重                                                                                                                            
discomfort                                                  不舒服                                                                                                                         
disclosure                                                  披露                                                                                                                            
disclose                                                    透露                                                                                                                            
disciplinary                                                紀律的                                                                                                                         
discharge                                                   釋放                                                                                                                            
disastrous                                                  慘重                                                                                                                            
disapprove                                                  不贊成                                                                                                                         
donate                                                      捐                                                                                                                               
dynamite                                                    炸藥                                                                                                                            
dubious                                                     可疑                                                                                                                            
dual                                                        雙重的                                                                                                                         
drought                                                     乾旱                                                                                                                            
drizzle                                                     細雨                                                                                                                            
dreary                                                      淒涼                                                                                                                            
drawback                                                    退稅                                                                                                                            
drastic                                                     激烈的                                                                                                                         
dosage                                                      劑量                                                                                                                            
doom                                                        厄運                                                                                                                            
donor                                                       捐贈者                                                                                                                         
donation                                                    捐款                                                                                                                            
distract                                                    轉移                                                                                                                            
dome                                                        圓頂                                                                                                                            
documentary                                                 記錄                                                                                                                            
doctrine                                                    教義                                                                                                                            
divert                                                      轉移                                                                                                                            
diversity                                                   多樣性                                                                                                                         
diversion                                                   導流                                                                                                                            
diversify                                                   多樣化                                                                                                                         
diverse                                                     各種各樣的                                                                                                                   
disturbance                                                 騷亂                                                                                                                            
distrust                                                    懷疑                                                                                                                            
distraction                                                 分心                                                                                                                            
deficiency                                                  不足                                                                                                                            
descendant                                                  後裔                                                                                                                            
descend                                                     下降                                                                                                                            
derive                                                      派生                                                                                                                            
deputy                                                      副                                                                                                                               
deprive                                                     剝奪                                                                                                                            
depict                                                      描繪                                                                                                                            
dental                                                      牙科                                                                                                                            
density                                                     密度                                                                                                                            
denounce                                                    聲討                                                                                                                            
delinquent                                                  拖欠                                                                                                                            
deliberate                                                  商榷                                                                                                                            
degrade                                                     降級                                                                                                                            
defect                                                      缺點                                                                                                                            
deem                                                        認為                                                                                                                            
dedication                                                  奉獻精神                                                                                                                      
dedicate                                                    奉獻                                                                                                                            
decline                                                     衰退                                                                                                                            
decisive                                                    決定性                                                                                                                         
decent                                                      體面的                                                                                                                         
deadly                                                      致命                                                                                                                            
daybreak                                                    拂曉                                                                                                                            
dandruff                                                    頭皮                                                                                                                            
daffodil                                                    水仙花                                                                                                                         
disable                                                     禁用                                                                                                                            
designate                                                   指定                                                                                                                            
disability                                                  失能                                                                                                                            
directory                                                   目錄                                                                                                                            
diplomatic                                                  外交                                                                                                                            
diplomacy                                                   外交                                                                                                                            
diminish                                                    減少                                                                                                                            
dimension                                                   方面                                                                                                                            
dilemma                                                     困境                                                                                                                            
differentiate                                               區分                                                                                                                            
dictator                                                    獨裁者                                                                                                                         
dictation                                                   聽寫                                                                                                                            
dictate                                                     聽寫                                                                                                                            
descent                                                     血統                                                                                                                            
diameter                                                    直徑                                                                                                                            
destined                                                    命中註定                                                                                                                      
detach                                                      分離                                                                                                                            
detain                                                      扣留                                                                                                                            
deter                                                       阻止                                                                                                                            
deteriorate                                                 惡化                                                                                                                            
devalue                                                     貶值                                                                                                                            
diabetes                                                    糖尿病                                                                                                                         
diagnose                                                    診斷                                                                                                                            
diagnosis                                                   診斷                                                                                                                            
diagram                                                     圖表                                                                                                                            
expiration                                                  過期                                                                                                                            
exclusive                                                   獨家的                                                                                                                         
excessive                                                   過多的                                                                                                                         
excerpt                                                     摘抄                                                                                                                            
evolve                                                      發展                                                                                                                            
execution                                                   執行                                                                                                                            
evolution                                                   進化                                                                                                                            
evacuate                                                    撤離                                                                                                                            
ethnic                                                      種族的                                                                                                                         
ethical                                                     道德的                                                                                                                         
eternity                                                    永恆                                                                                                                            
essence                                                     本質                                                                                                                            
escalate                                                    升級                                                                                                                            
eruption                                                    爆發                                                                                                                            
exert                                                       發揮                                                                                                                            
exotic                                                      異國情調                                                                                                                      
expedition                                                  遠征                                                                                                                            
expel                                                       驅逐                                                                                                                            
expertise                                                   專業知識                                                                                                                      
expire                                                      到期                                                                                                                            
explicit                                                    明確的                                                                                                                         
exploit                                                     開發                                                                                                                            
exploration                                                 勘探                                                                                                                            
exquisite                                                   精美的                                                                                                                         
extract                                                     提煉                                                                                                                            
extracurricular                                             課外                                                                                                                            
eyesight                                                    眼力                                                                                                                            
erode                                                       侵蝕                                                                                                                            
equation                                                    方程                                                                                                                            
equivalent                                                  相等的                                                                                                                         
ebb                                                         落潮                                                                                                                            
eccentric                                                   偏心                                                                                                                            
ecology                                                     生態                                                                                                                            
ecstasy                                                     狂喜                                                                                                                            
edible                                                      食用                                                                                                                            
editorial                                                   社論                                                                                                                            
electron                                                    電子                                                                                                                            
eligible                                                    有資格的                                                                                                                      
elite                                                       精英                                                                                                                            
eloquence                                                   口才                                                                                                                            
eloquent                                                    雄辯                                                                                                                            
embark                                                      登船                                                                                                                            
emigrate                                                    移民                                                                                                                            
emigrant                                                    移民                                                                                                                            
episode                                                     插曲                                                                                                                            
epidemic                                                    流行性                                                                                                                         
enrich(ment)                                                豐富）                                                                                                                         
enlighten(ment)                                             啟示）                                                                                                                         
enhance(ment)                                               增強（改進）                                                                                                                
endurance                                                   耐力                                                                                                                            
encyclopedia                                                百科全書                                                                                                                      
enclosure                                                   外殼                                                                                                                            
enact(ment)                                                 制定（制定）                                                                                                                
emphatic                                                    強調的                                                                                                                         
emigration                                                  移民                                                                                                                            
fluid                                                       體液                                                                                                                            
flutter                                                     撲                                                                                                                               
foresee                                                     預見                                                                                                                            
formidable                                                  強大                                                                                                                            
formulate                                                   制定                                                                                                                            
fidelity                                                    保真度                                                                                                                         
forsake                                                     背叛                                                                                                                            
forthcoming                                                 即將到來                                                                                                                      
fortify                                                     強化                                                                                                                            
foster                                                      促進                                                                                                                            
fracture                                                    斷裂                                                                                                                            
fragile                                                     脆弱的                                                                                                                         
fragment                                                    分段                                                                                                                            
frail                                                       脆弱                                                                                                                            
fraud                                                       欺詐罪                                                                                                                         
freak                                                       怪物                                                                                                                            
fret                                                        煩惱                                                                                                                            
friction                                                    摩擦                                                                                                                            
flicker                                                     閃爍                                                                                                                            
fabulous                                                    極好                                                                                                                            
facilitate                                                  促進                                                                                                                            
faction                                                     派                                                                                                                               
faculty                                                     學院                                                                                                                            
familiarity                                                 熟悉度                                                                                                                         
famine                                                      飢荒                                                                                                                            
fascination                                                 魅力                                                                                                                            
feasible                                                    可行的                                                                                                                         
feedback                                                    反饋                                                                                                                            
fertility                                                   生育能力                                                                                                                      
finite                                                      有限                                                                                                                            
fireproof                                                   防火                                                                                                                            
flare                                                       耀斑                                                                                                                            
fleet                                                       艦隊                                                                                                                            
fling                                                       一扔                                                                                                                            
federation                                                  聯邦                                                                                                                            
guerrilla                                                   游擊隊                                                                                                                         
grope                                                       摸索                                                                                                                            
grocer                                                      雜貨商                                                                                                                         
grill                                                       炙烤                                                                                                                            
graphic                                                     形象的                                                                                                                         
graph                                                       圖形                                                                                                                            
gloomy                                                      陰沉                                                                                                                            
glisten                                                     閃亮                                                                                                                            
glassware                                                   玻璃器皿                                                                                                                      
glamour                                                     魅力                                                                                                                            
genetics                                                    遺傳學                                                                                                                         
genetic                                                     遺傳的                                                                                                                         
generate                                                    產生                                                                                                                            
generalize                                                  概括                                                                                                                            
galaxy                                                      星系                                                                                                                            
generator                                                   發電機                                                                                                                         
harass(ment)                                                騷擾                                                                                                                            
hunch                                                       直覺                                                                                                                            
humiliate                                                   羞辱                                                                                                                            
humanitarian                                                人道主義的                                                                                                                   
hostility                                                   敵意                                                                                                                            
hospitalize                                                 住院                                                                                                                            
hospitality                                                 款待                                                                                                                            
hospitable                                                  好客                                                                                                                            
hormone                                                     激素                                                                                                                            
honorary                                                    名譽                                                                                                                            
highlight                                                   強調                                                                                                                            
heroin                                                      海洛因                                                                                                                         
heritage                                                    遺產                                                                                                                            
hereafter                                                   此後                                                                                                                            
hemisphere                                                  半球                                                                                                                            
hazard                                                      冒險                                                                                                                            
hail(2)                                                     冰雹(2)                                                                                                                         
hacker                                                      黑客                                                                                                                            
hack                                                        破解                                                                                                                            
habitat                                                     棲息地                                                                                                                         
hurdle                                                      欄                                                                                                                               
