Confucius                                                   孔子                                                                                                                            
doubt                                                       懷疑                                                                                                                            
donkey                                                      驢                                                                                                                               
double                                                      雙倍的                                                                                                                         
department                                                  部                                                                                                                               
delay                                                       延遲                                                                                                                            
delicious                                                   可口的                                                                                                                         
deliver                                                     遞送                                                                                                                            
dew                                                         露                                                                                                                               
develop(ment)                                               發展）                                                                                                                         
detect                                                      探測                                                                                                                            
dentist                                                     牙醫                                                                                                                            
deny                                                        否定                                                                                                                            
degree                                                      程度                                                                                                                            
depend                                                      依靠                                                                                                                            
dessert                                                     甜點                                                                                                                            
desire                                                      慾望                                                                                                                            
depth                                                       深度                                                                                                                            
design                                                      設計                                                                                                                            
desert(2)                                                   沙漠(2)                                                                                                                         
describe                                                    描述                                                                                                                            
deaf                                                        聾                                                                                                                               
dial                                                        撥號                                                                                                                            
diamond                                                     鑽石                                                                                                                            
diary                                                       日記                                                                                                                            
dictionary                                                  字典                                                                                                                            
difference                                                  區別                                                                                                                            
difficulty                                                  困難                                                                                                                            
decorate                                                    裝飾                                                                                                                            
dinosaur                                                    恐龍                                                                                                                            
decision                                                    決定                                                                                                                            
direction                                                   方向                                                                                                                            
director                                                    導向器                                                                                                                         
debt                                                        債務                                                                                                                            
debate                                                      辯論                                                                                                                            
disagree(ment)                                              不同意                                                                                                                         
disappear                                                   消失                                                                                                                            
drawing                                                     繪畫                                                                                                                            
dumpling                                                    餃子                                                                                                                            
dumb                                                        啞的                                                                                                                            
dull                                                        乏味的                                                                                                                         
dryer                                                       烘乾機                                                                                                                         
duty                                                        責任                                                                                                                            
drum                                                        鼓                                                                                                                               
dress                                                       裙子                                                                                                                            
drugstore                                                   藥店                                                                                                                            
drug                                                        藥品                                                                                                                            
drop                                                        降低                                                                                                                            
drawer                                                      抽屜                                                                                                                            
drama                                                       戲劇                                                                                                                            
element                                                     元素                                                                                                                            
excuse                                                      藉口                                                                                                                            
emotion                                                     感情                                                                                                                            
excite(ment)                                                激動）                                                                                                                         
excellent                                                   出色的                                                                                                                         
exact                                                       精確的                                                                                                                         
exercise                                                    鍛煉                                                                                                                            
event                                                       事件                                                                                                                            
exist                                                       存在                                                                                                                            
expect                                                      預計                                                                                                                            
especially                                                  尤其                                                                                                                            
error                                                       錯誤                                                                                                                            
elder                                                       長老                                                                                                                            
education                                                   教育                                                                                                                            
eyebrow/brow                                                眉毛                                                                                                                            
effect                                                      影響                                                                                                                            
extra                                                       額外的                                                                                                                         
effective                                                   有效的                                                                                                                         
effort                                                      努力                                                                                                                            
eastern                                                     東                                                                                                                               
earthquake                                                  地震                                                                                                                            
elevator                                                    電梯                                                                                                                            
express(1)                                                  快遞(1)                                                                                                                         
earn                                                        賺                                                                                                                               
explain                                                     解釋                                                                                                                            
elect                                                       選                                                                                                                               
expert                                                      專家                                                                                                                            
experience                                                  經驗                                                                                                                            
enemy                                                       敵人                                                                                                                            
expensive                                                   昂貴的                                                                                                                         
ending                                                      結尾                                                                                                                            
environment                                                 環境                                                                                                                            
entire                                                      全部的                                                                                                                         
entrance                                                    入口                                                                                                                            
enjoy(ment)                                                 享受）                                                                                                                         
encourage(ment)                                             鼓勵）                                                                                                                         
eraser                                                      橡皮                                                                                                                            
energy                                                      活力                                                                                                                            
envelope                                                    信封                                                                                                                            
fright                                                      驚嚇                                                                                                                            
fence                                                       柵欄                                                                                                                            
flow                                                        流動                                                                                                                            
flu                                                         流感                                                                                                                            
frighten                                                    嚇唬                                                                                                                            
fireman/firewoman                                           女消防員                                                                                                                      
fisherman                                                   漁夫                                                                                                                            
field                                                       場地                                                                                                                            
firm                                                        公司                                                                                                                            
favorite                                                    最喜歡的                                                                                                                      
famous                                                      著名的                                                                                                                         
fool(2)                                                     傻瓜(2)                                                                                                                         
friendly                                                    友誼賽                                                                                                                         
foolish                                                     愚蠢的                                                                                                                         
fox                                                         狐狸                                                                                                                            
fair(2)                                                     公平(2)                                                                                                                         
fellow                                                      老鄉                                                                                                                            
female                                                      女性                                                                                                                            
fail                                                        失敗                                                                                                                            
fee                                                         費用                                                                                                                            
forward(s)                                                  轉發                                                                                                                            
forward                                                     向前                                                                                                                            
function                                                    功能                                                                                                                            
foreigner                                                   外國人                                                                                                                         
fever                                                       發燒                                                                                                                            
flat                                                        平坦的                                                                                                                         
flight                                                      航班                                                                                                                            
flashlight/flash                                            手電筒/手電筒                                                                                                               
flash                                                       閃光                                                                                                                            
fit                                                         合身                                                                                                                            
flag                                                        旗幟                                                                                                                            
failure                                                     失敗                                                                                                                            
football                                                    足球                                                                                                                            
flood                                                       洪水                                                                                                                            
forgive                                                     原諒                                                                                                                            
fair(1)                                                     公平(1)                                                                                                                         
fearful                                                     可怕                                                                                                                            
fix                                                         使固定                                                                                                                         
form                                                        形式                                                                                                                            
flour                                                       麵粉                                                                                                                            
flute                                                       長笛                                                                                                                            
figure                                                      數字                                                                                                                            
fighter                                                     戰鬥機                                                                                                                         
foggy                                                       有霧的                                                                                                                         
festival                                                    節日                                                                                                                            
fool(1)                                                     傻瓜(1)                                                                                                                         
further                                                     更遠                                                                                                                            
fault                                                       過錯                                                                                                                            
focus                                                       重點                                                                                                                            
film                                                        電影                                                                                                                            
favor                                                       贊成                                                                                                                            
frank                                                       坦率                                                                                                                            
following                                                   下列的                                                                                                                         
future                                                      未來                                                                                                                            
freedom                                                     自由                                                                                                                            
formal                                                      正式的                                                                                                                         
former                                                      以前的                                                                                                                         
freezer                                                     冰箱                                                                                                                            
grade                                                       年級                                                                                                                            
golden                                                      金的                                                                                                                            
generous                                                    慷慨的                                                                                                                         
giraffe                                                     長頸鹿                                                                                                                         
guy                                                         傢伙                                                                                                                            
guava                                                       番石榴                                                                                                                         
giant                                                       巨大的                                                                                                                         
gentle                                                      溫和的                                                                                                                         
garage                                                      車庫                                                                                                                            
guitar                                                      吉他                                                                                                                            
grassy                                                      長滿草的                                                                                                                      
garbage                                                     垃圾                                                                                                                            
goat                                                        山羊                                                                                                                            
guard                                                       警衛                                                                                                                            
gentleman                                                   紳士                                                                                                                            
gather                                                      收集                                                                                                                            
glove(s)                                                    手套）                                                                                                                         
grape                                                       葡萄                                                                                                                            
gardener                                                    園丁                                                                                                                            
growth                                                      生長                                                                                                                            
glue                                                        膠水                                                                                                                            
gate                                                        門                                                                                                                               
general(2)                                                  一般(2)                                                                                                                         
gain                                                        獲得                                                                                                                            
government                                                  政府                                                                                                                            
govern                                                      治理                                                                                                                            
greedy                                                      貪婪的                                                                                                                         
geography                                                   地理                                                                                                                            
golf                                                        高爾夫球                                                                                                                      
greet                                                       迎接                                                                                                                            
goal                                                        目標                                                                                                                            
hang                                                        懸掛                                                                                                                            
honey                                                       蜂蜜                                                                                                                            
hanger                                                      衣架                                                                                                                            
humid                                                       濕                                                                                                                               
handsome                                                    英俊                                                                                                                            
humble                                                      謙遜的                                                                                                                         
heater                                                      加熱器                                                                                                                         
hero/heroine                                                男女主角                                                                                                                      
humor                                                       幽默                                                                                                                            
hop                                                         跳                                                                                                                               
handkerchief                                                手帕                                                                                                                            
hunger                                                      飢餓                                                                                                                            
hospital                                                    醫院                                                                                                                            
hen                                                         母雞                                                                                                                            
hippopotamus/hippo                                          河馬/河馬                                                                                                                     
hateful                                                     可惡                                                                                                                            
hip                                                         時髦的                                                                                                                         
homesick                                                    想家                                                                                                                            
handle(2)                                                   把手(2)                                                                                                                         
height                                                      高度                                                                                                                            
hammer                                                      錘子                                                                                                                            
healthy                                                     健康                                                                                                                            
hardly                                                      幾乎不                                                                                                                         
highway                                                     高速公路                                                                                                                      
hotel                                                       酒店                                                                                                                            
hobby                                                       愛好                                                                                                                            
holder                                                      持有者                                                                                                                         
helpful                                                     有幫助                                                                                                                         
hire                                                        聘請                                                                                                                            
host(1)/hostess                                             主持人(1)/女主人                                                                                                            
however                                                     然而                                                                                                                            
habit                                                       習慣                                                                                                                            
hamburger/burger                                            漢堡/漢堡                                                                                                                     
honest                                                      誠實的                                                                                                                         
hall                                                        大廳                                                                                                                            
hum                                                         哼                                                                                                                               
handle(1)                                                   把手(1)                                                                                                                         
hide                                                        隱藏                                                                                                                            
hunt                                                        打獵                                                                                                                            
hunter                                                      獵人                                                                                                                            
hurry                                                       匆忙                                                                                                                            
independence                                                獨立                                                                                                                            
item                                                        物品                                                                                                                            
increase                                                    增加                                                                                                                            
income                                                      收入                                                                                                                            
instant                                                     立即的                                                                                                                         
invite                                                      邀請                                                                                                                            
instance                                                    實例                                                                                                                            
invent                                                      發明                                                                                                                            
ignore                                                      忽視                                                                                                                            
ill                                                         患病的                                                                                                                         
insist                                                      堅持                                                                                                                            
imagine                                                     想像                                                                                                                            
insect                                                      昆蟲                                                                                                                            
island                                                      島                                                                                                                               
introduce                                                   介紹                                                                                                                            
international                                               國際的                                                                                                                         
include                                                     包括                                                                                                                            
