AIDS/acquired_immune_deficiency_syndrome                    艾滋病/獲得性免疫缺陷綜合症                                                                                          
curl                                                        捲曲                                                                                                                            
curse                                                       詛咒                                                                                                                            
companion                                                   伴侶                                                                                                                            
constitution                                                憲法                                                                                                                            
constitute                                                  構成                                                                                                                            
consonant                                                   輔音                                                                                                                            
consistent                                                  持續的                                                                                                                         
curve                                                       曲線                                                                                                                            
consist                                                     組成                                                                                                                            
conservative                                                保守的                                                                                                                         
consequent                                                  結果                                                                                                                            
cushion                                                     墊子                                                                                                                            
consequence                                                 結果                                                                                                                            
calorie                                                     卡路里                                                                                                                         
campaign                                                    活動                                                                                                                            
calculator                                                  計算器                                                                                                                         
cabinet                                                     內閣                                                                                                                            
calculate                                                   計算                                                                                                                            
calculation                                                 計算                                                                                                                            
depart                                                      離開                                                                                                                            
determination                                               決心                                                                                                                            
departure                                                   離開                                                                                                                            
dependable                                                  可信                                                                                                                            
dynasty                                                     王朝                                                                                                                            
dynamic                                                     動態的                                                                                                                         
dye                                                         染料                                                                                                                            
dependent                                                   依賴的                                                                                                                         
depress                                                     壓抑                                                                                                                            
depression                                                  沮喪                                                                                                                            
dusty                                                       塵土飛揚的                                                                                                                   
deserve                                                     應得                                                                                                                            
desperate                                                   絕望的                                                                                                                         
despite                                                     儘管                                                                                                                            
durable                                                     耐用的                                                                                                                         
destruction                                                 破壞                                                                                                                            
drill                                                       鑽頭                                                                                                                            
drift                                                       漂移                                                                                                                            
detective                                                   偵探                                                                                                                            
damn                                                        該死                                                                                                                            
defensible                                                  防禦的                                                                                                                         
distinguished                                               傑出的                                                                                                                         
damp                                                        潮濕                                                                                                                            
deadline                                                    最後期限                                                                                                                      
declare                                                     宣布                                                                                                                            
decoration                                                  裝飾                                                                                                                            
decrease                                                    減少                                                                                                                            
defeat                                                      打敗                                                                                                                            
defend                                                      防守                                                                                                                            
defense                                                     防禦                                                                                                                            
dense                                                       稠密                                                                                                                            
defensive                                                   防守的                                                                                                                         
definite                                                    定                                                                                                                               
delicate                                                    精美的                                                                                                                         
delight                                                     喜                                                                                                                               
delightful                                                  愉快                                                                                                                            
demand                                                      要求                                                                                                                            
demonstrate                                                 證明                                                                                                                            
demonstration                                               示範                                                                                                                            
disturb                                                     打擾                                                                                                                            
disadvantage                                                壞處                                                                                                                            
disaster                                                    災難                                                                                                                            
discipline                                                  紀律                                                                                                                            
divorce                                                     離婚                                                                                                                            
divine                                                      神聖的                                                                                                                         
disconnect                                                  斷開                                                                                                                            
discourage(ment)                                            勸阻                                                                                                                            
disguise                                                    偽裝                                                                                                                            
disgust                                                     厭惡                                                                                                                            
diplomat                                                    外交官                                                                                                                         
dismiss                                                     解僱                                                                                                                            
district                                                    區                                                                                                                               
distribution                                                分配                                                                                                                            
distribute                                                  分發                                                                                                                            
disorder                                                    紊亂                                                                                                                            
dispute                                                     爭議                                                                                                                            
distinct                                                    清楚的                                                                                                                         
distinguish                                                 區分                                                                                                                            
digest(2)                                                   文摘(2)                                                                                                                         
dread                                                       恐懼                                                                                                                            
devise                                                      設計                                                                                                                            
draft                                                       草稿                                                                                                                            
doze                                                        瞌睡                                                                                                                            
devote                                                      奉獻                                                                                                                            
diaper                                                      尿布                                                                                                                            
download                                                    下載                                                                                                                            
differ                                                      不同                                                                                                                            
digest(1)                                                   文摘(1)                                                                                                                         
device                                                      設備                                                                                                                            
dormitory/dorm                                              宿舍/宿舍                                                                                                                     
digestion                                                   消化                                                                                                                            
digital                                                     數字的                                                                                                                         
dignity                                                     尊嚴                                                                                                                            
diligence                                                   勤勉                                                                                                                            
diploma                                                     文憑                                                                                                                            
dominate                                                    支配                                                                                                                            
dominant                                                    主導的                                                                                                                         
elementary                                                  初級                                                                                                                            
expand                                                      擴張                                                                                                                            
elastic                                                     鬆緊帶                                                                                                                         
exhibit                                                     展示                                                                                                                            
electrician                                                 電工                                                                                                                            
exhaust(2)                                                  排氣(2)                                                                                                                         
electronics                                                 電子產品                                                                                                                      
exhaust(1)                                                  排氣(1)                                                                                                                         
elegant                                                     優雅的                                                                                                                         
expansion                                                   擴張                                                                                                                            
eliminate                                                   排除                                                                                                                            
elsewhere                                                   別處                                                                                                                            
e-mail/email                                                電子郵件/電子郵件                                                                                                         
embarrass(ment)                                             尷尬                                                                                                                            
embassy                                                     大使館                                                                                                                         
emerge                                                      出現                                                                                                                            
exception                                                   例外                                                                                                                            
emotional                                                   情緒化的                                                                                                                      
expose                                                      暴露                                                                                                                            
earnest                                                     認真                                                                                                                            
earphone                                                    耳機                                                                                                                            
extent                                                      程度                                                                                                                            
economic                                                    經濟的                                                                                                                         
extend                                                      延長                                                                                                                            
economical                                                  經濟                                                                                                                            
economics                                                   經濟學                                                                                                                         
exposure                                                    暴露                                                                                                                            
equip(ment)                                                 設備）                                                                                                                         
explosive                                                   爆炸性的                                                                                                                      
economist                                                   經濟學家                                                                                                                      
explosion                                                   爆炸                                                                                                                            
explore                                                     探索                                                                                                                            
economy                                                     經濟                                                                                                                            
explanation                                                 解釋                                                                                                                            
experimental                                                實驗性的                                                                                                                      
efficiency                                                  效率                                                                                                                            
empire                                                      帝國                                                                                                                            
era                                                         時代                                                                                                                            
equality                                                    平等                                                                                                                            
errand                                                      差事                                                                                                                            
envious                                                     羨慕                                                                                                                            
escalator                                                   自動扶梯                                                                                                                      
enthusiasm                                                  熱情                                                                                                                            
entertain(ment)                                             娛樂）                                                                                                                         
essay                                                       散文                                                                                                                            
essential                                                   基本的                                                                                                                         
establish(ment)                                             機構                                                                                                                            
estimate                                                    估計                                                                                                                            
enormous                                                    巨大的                                                                                                                         
enlarge(ment)                                               放大）                                                                                                                         
engineering                                                 工程                                                                                                                            
evaluate                                                    評估                                                                                                                            
exaggerate                                                  誇大                                                                                                                            
enclose                                                     括                                                                                                                               
examinee                                                    考生                                                                                                                            
examiner                                                    考官                                                                                                                            
encounter                                                   遇到                                                                                                                            
endanger                                                    危害                                                                                                                            
endure                                                      忍受                                                                                                                            
emphasis                                                    強調                                                                                                                            
evident                                                     明顯                                                                                                                            
evidence                                                    證據                                                                                                                            
enforce(ment)                                               強制執行                                                                                                                      
eventual                                                    最終的                                                                                                                         
eve                                                         前夕                                                                                                                            
evaluation                                                  評估                                                                                                                            
frequency                                                   頻率                                                                                                                            
freeway                                                     高速公路                                                                                                                      
frame                                                       框架                                                                                                                            
fragrant                                                    香                                                                                                                               
fragrance                                                   香味                                                                                                                            
formula                                                     公式                                                                                                                            
fossil                                                      化石                                                                                                                            
foundation                                                  基礎                                                                                                                            
fort                                                        堡                                                                                                                               
fortunate                                                   幸運                                                                                                                            
founder                                                     創辦人                                                                                                                         
fiction                                                     小說                                                                                                                            
functional                                                  功能性的                                                                                                                      
fundamental                                                 基本的                                                                                                                         
feast                                                       盛宴                                                                                                                            
funeral                                                     葬禮                                                                                                                            
furnish                                                     裝設                                                                                                                            
ferry                                                       渡船                                                                                                                            
fertile                                                     沃                                                                                                                               
furthermore                                                 此外                                                                                                                            
fetch                                                       拿來                                                                                                                            
foam                                                        泡沫                                                                                                                            
flush                                                       齊平                                                                                                                            
furious                                                     狂怒                                                                                                                            
freshman                                                    新生                                                                                                                            
fierce                                                      兇猛的                                                                                                                         
flunk                                                       不及格                                                                                                                         
fluent                                                      流利                                                                                                                            
finance                                                     金融                                                                                                                            
financial                                                   金融                                                                                                                            
firecracker                                                 鞭炮                                                                                                                            
fireplace                                                   壁爐                                                                                                                            
flexible                                                    靈活的                                                                                                                         
flee                                                        逃跑                                                                                                                            
flatter                                                     奉承                                                                                                                            
faithful                                                    可信                                                                                                                            
formation                                                   編隊                                                                                                                            
facial                                                      面部的                                                                                                                         
facility                                                    設施                                                                                                                            
forecast                                                    預報                                                                                                                            
frost                                                       霜                                                                                                                               
forbid                                                      禁止                                                                                                                            
frown                                                       皺眉                                                                                                                            
fame                                                        名聲                                                                                                                            
fantastic                                                   極好的                                                                                                                         
fantasy                                                     幻想                                                                                                                            
frustration                                                 挫折                                                                                                                            
favorable                                                   有利                                                                                                                            
fatal                                                       致命的                                                                                                                         
fulfill(ment)                                               履行）                                                                                                                         
fuel                                                        汽油                                                                                                                            
farewell                                                    告別                                                                                                                            
gear                                                        齒輪                                                                                                                            
generation                                                  一代                                                                                                                            
giggle                                                      傻笑                                                                                                                            
gigantic                                                    巨大                                                                                                                            
globe                                                       地球                                                                                                                            
gaze                                                        注視                                                                                                                            
gifted                                                      天才                                                                                                                            
genuine                                                     真的                                                                                                                            
glimpse                                                     一瞥                                                                                                                            
generosity                                                  慷慨                                                                                                                            
germ                                                        病菌                                                                                                                            
gene                                                        基因                                                                                                                            
grapefruit                                                  西柚                                                                                                                            
glide                                                       滑行                                                                                                                            
genius                                                      天才                                                                                                                            
grave(1)                                                    墳墓(1)                                                                                                                         
ginger                                                      生薑                                                                                                                            
guilty                                                      有罪的                                                                                                                         
guilt                                                       有罪                                                                                                                            
gulf                                                        海灣                                                                                                                            
guarantee                                                   保證                                                                                                                            
