AI/artificial_intelligence                                  人工智能/人工智能                                                                                                         
chord                                                       弦                                                                                                                               
choir                                                       唱詩班                                                                                                                         
calf(2)                                                     小牛(2)                                                                                                                         
chimpanzee                                                  黑猩猩                                                                                                                         
chubby                                                      胖乎乎的                                                                                                                      
chili                                                       辣椒                                                                                                                            
clan                                                        氏族                                                                                                                            
chestnut                                                    板栗                                                                                                                            
calf(1)                                                     小牛(1)                                                                                                                         
circuit                                                     電路                                                                                                                            
cannon                                                      大砲                                                                                                                            
civic                                                       公民                                                                                                                            
canal                                                       運河                                                                                                                            
chef                                                        廚師                                                                                                                            
cite                                                        引用                                                                                                                            
dormitory                                                   宿舍                                                                                                                            
dressing                                                    敷料                                                                                                                            
dough                                                       麵團                                                                                                                            
destructive                                                 破壞性的                                                                                                                      
downward                                                    向下                                                                                                                            
driveway                                                    車道                                                                                                                            
destiny                                                     命運                                                                                                                            
downward(s)                                                 向下）                                                                                                                         
document                                                    文檔                                                                                                                            
dialect                                                     方言                                                                                                                            
doorway                                                     門口                                                                                                                            
doorstep                                                    家門口                                                                                                                         
detergent                                                   洗滌劑                                                                                                                         
dresser                                                     梳妝台                                                                                                                         
dreadful                                                    可怕                                                                                                                            
devour                                                      吞食                                                                                                                            
dazzle                                                      炫                                                                                                                               
devotion                                                    虔誠                                                                                                                            
drape                                                       懸垂                                                                                                                            
declaration                                                 宣言                                                                                                                            
distinctive                                                 有特色的                                                                                                                      
delegation                                                  代表團                                                                                                                         
delegate                                                    代表                                                                                                                            
democrat                                                    民主黨人                                                                                                                      
distinction                                                 區別                                                                                                                            
denial                                                      否認                                                                                                                            
distress                                                    苦惱                                                                                                                            
dispose                                                     處置                                                                                                                            
dispense                                                    分配                                                                                                                            
dwelling                                                    住宅                                                                                                                            
dwell                                                       住                                                                                                                               
destination                                                 目的地                                                                                                                         
deceive                                                     欺騙                                                                                                                            
decay                                                       衰變                                                                                                                            
discriminate                                                辨析                                                                                                                            
descriptive                                                 描述性的                                                                                                                      
duration                                                    期間                                                                                                                            
disbelief                                                   懷疑                                                                                                                            
discard                                                     丟棄                                                                                                                            
despise                                                     討厭                                                                                                                            
disciple                                                    弟子                                                                                                                            
dart                                                        鏢                                                                                                                               
dusk                                                        黃昏                                                                                                                            
despair                                                     絕望                                                                                                                            
dwarf                                                       矮人                                                                                                                            
exclaim                                                     驚呼                                                                                                                            
excel                                                       擅長                                                                                                                            
exclude                                                     排除                                                                                                                            
exceed                                                      超出                                                                                                                            
erupt                                                       爆發                                                                                                                            
execute                                                     執行                                                                                                                            
exaggeration                                                誇張                                                                                                                            
evergreen                                                   常綠                                                                                                                            
executive                                                   行政人員                                                                                                                      
excess                                                      過量的                                                                                                                         
ethic(s)                                                    倫理）                                                                                                                         
exceptional                                                 例外的                                                                                                                         
erect                                                       直立                                                                                                                            
elaborate                                                   精心製作的                                                                                                                   
embrace                                                     擁抱                                                                                                                            
ego                                                         自我                                                                                                                            
endeavor                                                    努力                                                                                                                            
eel                                                         鰻魚                                                                                                                            
enroll(ment)                                                註冊）                                                                                                                         
eclipse                                                     蝕                                                                                                                               
ensure/insure                                               確保/保證                                                                                                                     
enterprise                                                  企業                                                                                                                            
enthusiastic                                                熱情的                                                                                                                         
entitle                                                     權利                                                                                                                            
equate                                                      等同                                                                                                                            
exile                                                       流亡                                                                                                                            
elevate                                                     提升                                                                                                                            
escort                                                      護送                                                                                                                            
estate                                                      財產                                                                                                                            
esteem                                                      尊重                                                                                                                            
eternal                                                     永恆                                                                                                                            
eyelid                                                      眼皮                                                                                                                            
eyelash/lash                                                睫毛/睫毛                                                                                                                     
extraordinary                                               非凡的                                                                                                                         
extinct                                                     滅絕                                                                                                                            
external                                                    外部的                                                                                                                         
exterior                                                    外部的                                                                                                                         
extensive                                                   廣泛的                                                                                                                         
extension                                                   擴大                                                                                                                            
fishery                                                     漁業                                                                                                                            
fraction                                                    分數                                                                                                                            
flourish                                                    繁榮                                                                                                                            
fluency                                                     流暢                                                                                                                            
foe                                                         敵人                                                                                                                            
foil                                                        挫敗                                                                                                                            
folklore                                                    民俗學                                                                                                                         
forgetful                                                   健忘                                                                                                                            
format                                                      格式                                                                                                                            
foul                                                        犯規                                                                                                                            
fowl                                                        雞                                                                                                                               
fad                                                         時尚                                                                                                                            
framework                                                   框架                                                                                                                            
frantic                                                     瘋狂的                                                                                                                         
freight                                                     貨運                                                                                                                            
frontier                                                    邊境                                                                                                                            
fume                                                        煙                                                                                                                               
fury                                                        憤怒                                                                                                                            
fuse                                                        保險絲                                                                                                                         
fuss                                                        大驚小怪                                                                                                                      
flick                                                       輕彈                                                                                                                            
flip                                                        翻動                                                                                                                            
falter                                                      步履蹣跚                                                                                                                      
fascinate                                                   吸引                                                                                                                            
fatigue                                                     疲勞                                                                                                                            
federal                                                     聯邦                                                                                                                            
feeble                                                      微弱                                                                                                                            
feminine                                                    女性化的                                                                                                                      
fertilizer                                                  肥料                                                                                                                            
fiancé/fiancée                                            未婚夫/未婚妻                                                                                                               
fiddle                                                      小提琴                                                                                                                         
filter                                                      篩選                                                                                                                            
fin                                                         鰭                                                                                                                               
fabric                                                      織物                                                                                                                            
flake                                                       薄片                                                                                                                            
flap                                                        皮瓣                                                                                                                            
flaw                                                        缺陷                                                                                                                            
fiber                                                       纖維                                                                                                                            
glitter                                                     閃光                                                                                                                            
graze                                                       輕擦                                                                                                                            
grease                                                      潤滑脂                                                                                                                         
greed                                                       貪婪                                                                                                                            
glee                                                        高興                                                                                                                            
gleam                                                       微光                                                                                                                            
glare                                                       強光                                                                                                                            
grim                                                        嚴峻                                                                                                                            
grip                                                        緊握                                                                                                                            
gloom                                                       愁雲                                                                                                                            
gravity                                                     重力                                                                                                                            
gnaw                                                        啃                                                                                                                               
gobble                                                      狼吞虎咽                                                                                                                      
gorge(1)                                                    峽谷(1)                                                                                                                         
gorge(2)                                                    峽谷(2)                                                                                                                         
gorgeous                                                    華麗的                                                                                                                         
grant                                                       授予                                                                                                                            
gorilla                                                     大猩猩                                                                                                                         
grumble                                                     嘰                                                                                                                               
gospel                                                      福音                                                                                                                            
gypsy                                                       吉普賽人                                                                                                                      
gut(s)                                                      內臟                                                                                                                            
gust                                                        陣風                                                                                                                            
gulp                                                        吞嚥                                                                                                                            
gallop                                                      馳騁                                                                                                                            
garment                                                     服裝                                                                                                                            
guideline                                                   準則                                                                                                                            
glacier                                                     冰川                                                                                                                            
growl                                                       咆哮                                                                                                                            
gasp                                                        喘氣                                                                                                                            
gathering                                                   蒐集                                                                                                                            
gross                                                       總的                                                                                                                            
gay                                                         同性戀                                                                                                                         
gender                                                      性別                                                                                                                            
geographical                                                地理的                                                                                                                         
groan                                                       呻吟                                                                                                                            
geometry                                                    幾何學                                                                                                                         
heroic                                                      英勇                                                                                                                            
honk                                                        喇叭                                                                                                                            
hermit                                                      隱士                                                                                                                            
heterosexual                                                異性                                                                                                                            
hi-fi/high_fidelity                                         高保真/高保真                                                                                                               
hijack                                                      劫持                                                                                                                            
hiss                                                        嘶                                                                                                                               
hoarse                                                      嘶啞                                                                                                                            
hockey                                                      曲棍球                                                                                                                         
homosexual                                                  同性戀                                                                                                                         
herb                                                        草本植物                                                                                                                      
hood                                                        兜帽                                                                                                                            
hoof                                                        蹄                                                                                                                               
horizontal                                                  水平的                                                                                                                         
hostage                                                     人質                                                                                                                            
hostile                                                     敵對的                                                                                                                         
hound                                                       獵犬                                                                                                                            
housing                                                     住房                                                                                                                            
hover                                                       徘徊                                                                                                                            
hearty                                                      爽朗                                                                                                                            
hail(1)                                                     冰雹(1)                                                                                                                         
hairstyle/hairdo                                            髮型/髮型                                                                                                                     
handicap                                                    差點                                                                                                                            
handicraft                                                  手工業                                                                                                                         
hardy                                                       耐寒的                                                                                                                         
harness                                                     馬俱                                                                                                                            
haul                                                        運輸                                                                                                                            
haunt                                                       出沒                                                                                                                            
howl                                                        嗥                                                                                                                               
heavenly                                                    天上                                                                                                                            
hedge                                                       樹籬                                                                                                                            
heed                                                        注意                                                                                                                            
heighten                                                    增高                                                                                                                            
heir                                                        繼承人                                                                                                                         
hence                                                       因此                                                                                                                            
herald                                                      先驅                                                                                                                            
hurl                                                        投                                                                                                                               
hymn                                                        聖歌                                                                                                                            
inland                                                      內陸                                                                                                                            
inward(s)                                                   向內                                                                                                                            
innumerable                                                 無數                                                                                                                            
inquire                                                     查詢                                                                                                                            
institute                                                   研究所                                                                                                                         
insure                                                      保證                                                                                                                            
intent                                                      意圖                                                                                                                            
interference                                                干涉                                                                                                                            
interior                                                    內部的                                                                                                                         
ivy                                                         常春藤                                                                                                                         
interpretation                                              解釋                                                                                                                            
issue                                                       問題                                                                                                                            
isle                                                        小島                                                                                                                            
interpreter                                                 口譯員                                                                                                                         
intuition                                                   直覺                                                                                                                            
inward                                                      向內的                                                                                                                         
initiate                                                    發起                                                                                                                            
inherit                                                     繼承                                                                                                                            
infinite                                                    無窮                                                                                                                            
indulge                                                     放縱                                                                                                                            
induce                                                      誘發                                                                                                                            
indispensable                                               必不可少                                                                                                                      
indignant                                                   憤怒                                                                                                                            
